prefix	input_text	target_text
multilabel classification	dis is unfair of ur company going to wks nw ive bin complaining abt d subscriptioni did wch did nt reflect on mydecoder nd im givin u an ultimatumelse u will surprise my next reactnim makin dis publicly nw ive chatted u privately showing evidence of payment	negative
multilabel classification	k stake to play psg win and over na im i wan do naso i go add one nijemen for nairaland	negative
multilabel classification	e be like u sef dey mad	negative
multilabel classification	jesus the last part got me laughing wetin concern me shebi na person wey na know im worth go dey praise politicians for street many are farmers traders even some jobless i wonder why they even introduced politics to africa were civilized tho	negative
multilabel classification	this celeokota traffic na one chance o belle dey turn me	negative
multilabel classification	this is how we roll on the street if refree do anyhow we bounce am only say me wey dem change sef na error i no what my eyes saw sha follow	negative
multilabel classification	e dey scare me sef kilode	negative
multilabel classification	remind me never to listen to you again wetin be this abeg im listening to it and my roommates are laughing	negative
multilabel classification	sure parole with dem boys dey mainland like this but no be me dem go use trend tomorrow these lagos police officers are unruly	negative
multilabel classification	daddy mi o if a day is possible sef we go come dey chop chips and gala like if we walk too far from departure we go miss flight	negative
multilabel classification	congrats to your folks youre the ugly one e go make sense if your kids sef dey sprinkled somewhere in the picture uncle wale	negative
multilabel classification	taxify and uber needs to sensitize their drivers on the need to smell good at all times if they are not interested in their own hygiene they should at least smell good for their consumers e remain small motor go show una fit dey do anyhow then but until then pirri me	negative
multilabel classification	| w e e k e n d j o y | when you over deliver thank you for making the process stressless had my heart in my mouth until	negative
multilabel classification	u n e d i t e d s e r i e s owambe saturday bookings ️ we also love our walkin clients muse ibukun	negative
multilabel classification	today marks one small milestone in the beautiful journey of lifei believe dat im the equivalent to a fine wine or a delicious cheesed older the better im trilled to be another year today i create within me a vacuum that no one can and will ever fill except god	negative
multilabel classification	im a big lover of music but i cant stop laughing anytime i remember that song where he said the only competition i get na dangote my broke ass was kuku singing it with him too na when e reach that part i dey shout pass sef we will sha be alright	negative
multilabel classification	show me love i use god beg you i no want money abeg just one song abeg i dey beg	negative
multilabel classification	na jamzi dey drop lines like this oboi jamzi sef mad that year oh	negative
multilabel classification	kano pple or if u dey kano around dis tym you need to put dis in ur letter its gonna be blazing amazing will be around cc kaduna state	negative
multilabel classification	family dey call ooif no be billing na something dey sup oo real st come and drop your wetin my eyes don see vibe on this guy track abeg worldbest na skylevel only ️	negative
multilabel classification	ur testimony makes me dis god he z a true god he works n ways man cannot understandu were n pain bt just dat song nara brought abt ur healing lyk u said fr days nw u hve not bn n pain who has done dat no bt jesus all glory return to him alone	negative
multilabel classification	fine boiz like es na dem dey rash es congratulations	negative
multilabel classification	e nor come bad now	positive
multilabel classification	and na so god go take bless you pass wetin you dey expect	positive
multilabel classification	sweater god e don dey be like my supervisor disturbing me for project	negative
multilabel classification	e no get who no get him own wahalaeverybody just de smile de waka jeje so if person no fit helep you todaynwannem nwoke nwanyi understand and move on if you continue to worry am and him block you patapatae no mean say him wicked o e only mean say you no get sense	negative
multilabel classification	fat abi thick people please no vex buh how do you people do it like breath stay comfortable with tight clothes clothe i made in december today i no fit use am enter bike e dey choke	negative
multilabel classification	na them dey support nigerian idol and na crazy people full auditions	negative
multilabel classification	lol but the guy is an anonymous na we can say hes not begging but venting him don go broke because of woman baba say him dey sapa	negative
multilabel classification	e be like say oga chairman true colour don dey show cos dis him determination on top dis election mata ehn don dey pass be careful o shey politics na do or die affair ni fresh episode of dey show at pm on top dstv and uhf terrestrial	negative
multilabel classification	wahala be like ebube if you still spell am backwards na still ebube today is easter and all i see is violence everywhere that ejikem guy has never for once trend for good reason na who do you this thing now	negative
multilabel classification	chews loudly because i cant stand snoring its one of my greatest fear in marriage marry wife finish she con dey snore omo na to return the wife	negative
multilabel classification	if by tomorrow i cannot make transactions with my account ill be done with yall and thats on period i know the money wey dey there na small thing butmake e work well napeople cannot even help my lifewhats this one na	negative
multilabel classification	the kind sweat wey i don sweat today ehnnn even if i dey drink furosemide the water wey go comot no go reach this	negative
multilabel classification	like where i wan dey see k monthly where i dey work	negative
multilabel classification	yess ooo be like e don cancel trip sef sigh	negative
multilabel classification	person wey i wan shoot shot to don egbonzone me again ooo	negative
multilabel classification	wetin ndi awka do una for this app bikonu na crime say we love enjoyment ‍	negative
multilabel classification	i no fit marry man wey dey fight for nxt sha na everyday i go dey cry	negative
multilabel classification	why hotel towel is so big like this see now i wan comot and my bag zip don spoil abi na my vl ppls	negative
multilabel classification	you see those ones wey dey change paper to money i no dey believe say dem dey exist until d day dem run me pure street since last year sept i still dey think about my k till today na k these bastards use to cover d perfectly cut cartons wey be like real money ot of life	negative
multilabel classification	better dey careful oo be like sey twitter shadow ban our king cos of hin tweet for april fool o mk dem no get you too o	negative
multilabel classification	its so pathetic why dont we really think abt our clients wen we are doing business here in nigeria becos of our greedy n love money nah we go still come dey say govts bad bad abeg no mind dem for me nah pay on delivery so if d product is bad its only tf i loss	negative
multilabel classification	na the witchcraft part omo e just dawn on me say true dem don turn black witches o	negative
multilabel classification	na all of us dey this table my actual reason sha is because the thing dey lazy person to wash like why do pots have to be so stubborn	negative
multilabel classification	i have washed and comot my hands from husband and wife matter oo no be my head dem go use cut coconut she don dy post and praising her husband again ahhh married women are sorcerers	negative
multilabel classification	as dey luciano now sheybi i for go catch money but i don chop overfeeding my dress no go fine well well	negative
multilabel classification	this ramadan im reporting plenty people to god una don too do me strong thing	negative
multilabel classification	you see why sticking to what youre familiar with is the best when making food choices just had the trashiest creamy chicken sauce with basmati rice and i dont know how to feel well maybe not trashy its just not something im used to i no dey chop pass rice and stew	negative
multilabel classification	please i find it difficult to understand this space ehnneveryday every new morning different thingsee ehnn i know say luno own na savings una help me do see if una touch wálai i go cry my tired i seriously exhausted	negative
multilabel classification	am and i just finished studying my bank statement from jan march n e be like say dem consistently rob me omo make una just avoid me today abeg	negative
multilabel classification	lol checking different ig and whatsapp status this morning made me realize that i ought to really be going out enjoying clubbing and doing everything my age but then i remembered say na money dem dey use do those kain things	negative
multilabel classification	omo nigerian news agency no go kill me with bad news una no know say country hard nii make una dey throw in good news once in a while nau	negative
multilabel classification	na only me no gree baff soap and e come be like say i no serious for my life chai	negative
multilabel classification	abeg please wetin dey happen i havent eaten since morning because of you people and im not owing oooo	negative
multilabel classification	na so use thief my money oh make una help a broda abeg i don send mail tire access bank deserve dragging	negative
multilabel classification	futo babes ‍️ you sha not misbehave with dem cause dem dey burst bottle	negative
multilabel classification	i go soon break person head for this abuja una go stop me for road dey beg sir sir na craze	negative
multilabel classification	arsenal cant make the top with them westham leicester and co na football power house una wan dey face week in week out	negative
multilabel classification	she ws floggin me dat very day d beatin ws so much dat i try fight back nd dis man came rm nowhere omg i almost die dat daydat my head wey no correct full of koko nd my mom was there watching dat ws d last day she floggin me always sha obt i see hell return dat day	negative
multilabel classification	now chelsea don play and dem no win aswear the weekend don spoil for some fans e dey pain walahi	negative
multilabel classification	that guy wan body you for touching line ‍️‍️ hope say medic dey cause na outside him go finish this match	negative
multilabel classification	went to see mortal kombat at imax lekki e be like say subzero dey the cinema hall the main cold wey wan finish us ehn	negative
multilabel classification	guy i told this man my surname e shout e say taaa you get money na say my papa even grandpa made money alaye im jobless you wan make i dey buy beer every day gon meet my grandpa	negative
multilabel classification	why you dey thank me na you i dey greet wetin concern me concern you comot here	negative
multilabel classification	naso my crush tell me sey she love me today i con dey confess feelings too like mumu oo i don forget say today na april fools naso she tell me thanks con send one pawpaw laughing sticker	negative
multilabel classification	tailor wey i give jesus christ burial cloth make e sew later come dey cap me bobo like this now who naked better pass me	negative
multilabel classification	i subscribe gb una no go allow am last now again una dey use una network they test my patience atleast lemme enjoy the network now even if i wont enjoy my data	negative
multilabel classification	babes closeup na how much again i don use too many brands teeth no gree white na	negative
multilabel classification	a letter to my ex dear miss amaka you been tell me say ikechukwu na your brother all those years only for you to invite me come wedding come see you dey marry the same ikechukwu my chest still dey pain me till today for my leg and my abdomen region	negative
multilabel classification	e con be like say i no even dey do anything	negative
multilabel classification	and somebodys daughter thinks she go born pass one for me even that one sev make e no be like say person no born ni‍️ abeg i no fit stand these things women go through biko	negative
multilabel classification	omo see as women dey package weed chics stay doing shii better the idiot wey dey link me up needs to see this monkey banana	negative
multilabel classification	no light heat come dey againand our forever tenantmosquitoes dey also do their job which kind wahala be this	negative
multilabel classification	i know mention anybody name but if this na your fav sub help am catch am na only fan base wen know say their oga dey wear fake ice dey cry for my comment if you come for me i go for your unfortunate parents	negative
multilabel classification	fine girl = wahala and wahala no dey finish so dem dey fear us	negative
multilabel classification	make pple d dey very careful wit diz end of month oo month don end month don end ehhenn who tell u say month end nah pay day some pple month nah dayz abeg make una take am easy wit pple oo diz monin i hear wife dey corey wit husband ontop breakfast money	negative
multilabel classification	e b like una wan see crazy abi in voice abi since yesterday ur network has been fluctuating till now	negative
multilabel classification	mechanic no go get joy e go comot tyre remove b change plug knack spanner for your ba terminal buh you weh get caryou go de do am small smallyou go just open bonnetlook am look amclose am again	negative
multilabel classification	u want to see crazy e fe ri werey abi which kain oloriburuku bank be this tori oloun no story just refund my money oo im not banking with you people again is not me u will give bp	negative
multilabel classification	this bro no nice at all upon all dis message wey you dey hear im crying for you	negative
multilabel classification	lmao hin no dey see zero na e dey see	negative
multilabel classification	na me lie fan pass na me go put ac for highest na me sweat pass both hands and feet na me get sensitive skin pass na me cold catch pass its so bad dear lord i hand over this skinbody to you	negative
multilabel classification	one man was watching football with her wife and their son for one lounge like that madam say she wan go house baba say make she dey go na omo come see small marriage drama	negative
multilabel classification	boss bless me tonight abeg even if na any amount hungry wan finish me for where ahde	negative
multilabel classification	forex trading be like baba don put hand for head alot of persons make the mistake of opening multiple running trades abeg how you wan manage them without running mad	negative
multilabel classification	im thinking nkpe shey i should resume for lectures this week or not awon lecturers don threaten us down gan but im not mentally and physically ready	negative
multilabel classification	no wan pay their betwaytrivia winners and na kthat k fit feed me for week+ as a studentabeg help me and beg them e don red for me	negative
multilabel classification	all of una still dy fail with abt for na una dy shout the best oooo the best at least his album shouldnt be drowning	negative
multilabel classification	wahala be like nigeria e dey paint pesin black	negative
multilabel classification	they don dey talk about school love na only me no get love na only me no get love i hate this jov like wt he used to be a good boy o why e dey yab person until love	negative
multilabel classification	this life like they say no balance i follow wahala no dey finish and spent all my savings until account got empty now my eyes don clear	negative
multilabel classification	person wey dey ment he frustrated me tonite i almst broke my tv screen already celebrating goal was like wtf timo deserves to the sh i swear down how on heck my boiz gonna loose to macedonia for dat mata	negative
multilabel classification	where una dey see this money to chop four eggs eh this noodles looks terrible tho	negative
multilabel classification	wetin you go do if your friend baff you with dis kinda insult ‍️‍️ tag that friend wen e mouth dey run like dis and tune in to watch now as e dey show on top dstv channel and uhf terrestrial	negative
multilabel classification	one baba brought the gf to his friend shop to help monitor am if she can make a good wife madam come begin dey make mumu waka with ogas nwa boy now baba told the bros to come carry the woman comot him side abeg	negative
multilabel classification	who go cute soap for me bayi abi make i go learn yahoo ni becus i don tire oh even survivalfund i dey hope on no wan pay at this age make person account still dey read minus ìlú yìí shumi	negative
multilabel classification	if i dey play ball i dey avoid these kind people i no dey bother my sef to go mack them theyll just use you and shine	negative
multilabel classification	wo e be like say this boy go dropout o school fees don dey strangulate me me wey drop out no get two heads o	negative
multilabel classification	be like i came to church very early o sermon no wan end and my stomach don dey para	negative
multilabel classification	wahala be like bicycle ooooo kuje rain don commot person roof breeze carry roof hit person windshield spoil d person gate breeze lift roof again to spoil another person house god abeg they still dey commot money for this house	negative
multilabel classification	omo una dey mad oh na love be this	negative
multilabel classification	hei lawd na so man wan take miss e blessing could even be that baba lack data or has a dead phone battery	negative
multilabel classification	all my friends don get peaches for georgiae con be like sey na only me no serious with my life	negative
multilabel classification	where una dey see these twins dey born congrats bells we tap into this double blessings	negative
multilabel classification	make we talk about nigeriafrance relations who else fit shook mouth on top de mata on how france won take support de nigerian creative industry oda than the french minister delegate for foreign trade and economic attractiveness	negative
multilabel classification	to like e person no b crime i de try let you knw wetin de my mind you driving me crazy	negative
multilabel classification	im in tears guys see how my customer is rocking her bag she made me so happy with this picture e choke abi e no choke lagos nigeria	negative
multilabel classification	we sef chop life make e no come be like say we no do anything but we arent kids anymore so we gotta grow up	negative
multilabel classification	im in tears guys see how my customer rocked her bag she made me so happy with this picture e choke abi e no choke ikeja	negative
multilabel classification	today bin wan get kleg but my god no gree im glad today ended on a good note and im feeling so elated rn thank you jesus	negative
multilabel classification	am sure the person who discovered milk was a male but im wondering what he was doing with the cows breast before he realized there was milk dat whatsapp friend dat loves me and have not seen me yet i love you	negative
multilabel classification	i had to remind my tailor to allow me breathe because this waist snatching is becoming something else please my dear let me breathe na who dey alive dey wear asoebi	negative
multilabel classification	this work of is going to cost me more hours to complete and im not giving up not now or never ️ so many legends dey but im just trying to be another one please kindly retweet for a bother na	negative
multilabel classification	quick question how una dey live this life without jesus shey e sweet ni you for calm down meet jesus oo	negative
multilabel classification	i get wise friends abeg ola told me something remarkable lately he was like bruh abeg in all you do pls end up with a kind partner because there are days when love wont be enough but you see a kind partner ehn heshe will be kind to you regardless i don die	negative
multilabel classification	done turn rich friend oooooo abeg where una dey see this money	negative
multilabel classification	where are you people seeing all these true love youre doing na me too im finding na help me to find na	negative
multilabel classification	baba spread this funds make dem fit dey charge me this kind maintenance fee	negative
multilabel classification	gaskiya na sha wahala na bils they call me attention seeker e choke	negative
multilabel classification	e wetin e strangulate congratulations dorathy congratulations otititi congratulations life size doll	negative
multilabel classification	where una dey find this love abeg if you help me see	negative
multilabel classification	bros abeg nau just tell her your younger brother likes one of her friends pick anyone wey be my spec and say na she i like bikonu	negative
multilabel classification	e dey do me like make friday just come im tired of here already	negative
multilabel classification	lmao not chisom i been dey look when dem dey drag you	negative
multilabel classification	stop tell me i forget you pls that have to stop remember when you dey suffer i know come help you and u know call me enjoyment come ur side my phone no ring oh now d table don turn i don become ur enemy life	negative
multilabel classification	if you go to that party behind metheyll not give you rice chop and if them give you rice meat know go dey on top ami hate rubbish‍️now im just home alone looking like person wey lost her way to naija abeg who get party for there area lemme turn up please	negative
multilabel classification	you go dey hear so the oxygen go con meet the methyl group con form leaving group sha the end product na secondary alchohol shey you get bro i no get	negative
multilabel classification	dis boys av dual citizenshipno properties nor businesses in nigeria bt ar makin d loudest noises and ar causin problem in d country dey can leave d country anytime dey set it ablaze wt d help of sentimental apologists dey av turned some of our youths zombies wt no brains	negative
multilabel classification	be there exposing the faux elite like us wey no get money see as you don tension streets na soso lol dey my tl like i saidzo ka ba mu	negative
multilabel classification	my mum just told me hope im aware my dad wont follow me to another church to do my wedding so let my head be correct buy the men in my church their head isnt correct sef i don enter this one i need to escape	negative
multilabel classification	am ur biggest fan person blow me for mouth coz of you we dey argue u and olamide who get vibes pass i argue they tell dem sey na get vibes pass before u no wetin dey happen wey don dey argue i no know wen i call the boy bastard out of anger the guy blow me	negative
multilabel classification	how far after the online bashing na this way una go una dey hawk our jersey like this cc	negative
multilabel classification	maka chineke nna bi neligwe the sun outside eh ‍️ if na you dey commit the sin wey make heaven dey vex lidis stop it please	negative
multilabel classification	you wey know like joke dem no dey give me money	negative
multilabel classification	this modric goal was one real madrid goal i didnt celebrate dem just ruin handicap wey everything don set	negative
multilabel classification	the kind body heating wey dis geh gimme for bus now ehn unto say i look like snow white shey na my fault	negative
multilabel classification	person way promise me christmas money na him dey flash me bayiii but sha all thos students wey dey write pages of answer for question una too no fit make heaven oo which mark u want make dem give us wey write	negative
multilabel classification	mechanic don dismantle your engine for ur front make you dey fear say shey he go sabi put am bag seeing screws flying up and down youd be like ahhh praying he doesnt find another problem n says ahhh oga eh ma need lati ra another noooooooo	negative
multilabel classification	tomorrow is first biometrics of the year and mans dont even know were my is even i no see e be like say na we go run oo make nysc no vex	negative
multilabel classification	the worst and annoying thing na say dem go call you you answer say wrong number still dem go call again and again and again	negative
multilabel classification	one hour before you enter abuja you for don dey see good roads na where the madness of all the drivers on the road they start be that come and see speeding all im hearing is voom voom voom left and right	negative
multilabel classification	na so i call them for house say i don reach school ooo them come give me another bad news say i forget my meat as i dey pack my stuff meat wey i do walaha fry yesterday afternoon as i dey now ehn i no fit think because this cold sef don enter my brain	negative
multilabel classification	guy everywhere you turn na beach pictures but man dey on top couch for house dey press phone	negative
multilabel classification	the rice wey i cook this morning no follow at all be like something dem wan give bingo	negative
multilabel classification	fack ‍️ this guy don finish us for lagos sha waz deez nau ee sah eskiss sah upon all your gragra small governor like this trash am in months come still dey use you cure e lo sempe jor	negative
multilabel classification	in this life bros fear women same best friend dey here dey chop her friend man buh my babe friends dey do strong head	negative
multilabel classification	i dey with my cousin and him wife yesterday and dem dey kiss e dey do me to knock the two of them	negative
multilabel classification	apparently na catfish account i don dey dm since the real person sent me a dm this morning to help her report the account its god that will help me to punish you o	negative
multilabel classification	make me regret not moving you as i was moving to take my place as a marlian oh now see you seeing heaven and i gotta wait till weekend when im less busy when before na one dm wey sound like bro are you back real inside life	negative
multilabel classification	na wetin de pain me for justice be that the crime don kill one person	negative
multilabel classification	i just no wan curse people doing this face and account thing why you dey give pesin hbp like this	negative
multilabel classification	na all this kind play dey make my future husband dey run im single lets be guided please	negative
multilabel classification	small change i lock somewhere for detty december e be like every go dey dia problem done plenty pass money make i face am head o	negative
multilabel classification	lmao this bastard came to wake because champagne wá wet monkey tail n good don burst body this is why i dislike people having bulk happiness una go dey misbehave n misyarn simultaneously	negative
multilabel classification	tie person pikin con dey flog am on top knacks	negative
multilabel classification	oh wow me wey dey look out for you na me fuck up please give sọpe back the account	negative
multilabel classification	high maintenance but you dey shoot netflix documentary of why you should be someones babe worst part then no come chose any of una be like say person write exam and dem no even mark am at all oh jigbijigbijigbijigbi	negative
multilabel classification	i don baff like times and its not yet pm yet come imagine some people go still dey knack inside this kind weather o	negative
multilabel classification	fresh kehabi opportunity to fornicateactivity dey wey baba go do wey go make baba forget about meim not playing rough play naira	negative
multilabel classification	that imeko video get as e be for my body sha small time dem go dey rubbish cele	negative
multilabel classification	women strong ‍️ my house buh na me dey outside dey beg make i come sleep for room	negative
multilabel classification	please lets respect ourselves im this coming year o my name is orisunmibare emmanuel aka emmylyskilz i am not bossthats how they have been skipping me with you na boss na dont angry me o	negative
multilabel classification	now now wey i renew my sub netflix don sharply collect gb i no dey do again abeg this sub must follow me enter next year ijn	negative
multilabel classification	forget o consultants in the us are rich o na just naija wey don condition us to believe doctors are poor and theres no more money in medicine	negative
multilabel classification	lol kilode now i dey my dey please dey your dey oo	negative
multilabel classification	lol why e dey pain u na not all of us dey wank	negative
multilabel classification	zaddy abeg make me happy have been burning fuel for like a month straight no power supply transformer don jappai don dey red o	negative
multilabel classification	e go kan marry wey e mind suppose dey at peace kan dey pay debt ‍️	negative
multilabel classification	im not going outside until the temperature is above my age kd is so freaking cold the wind sef be like say na angels dey blow am	negative
multilabel classification	for dis dry xmas period na im i go enter one chance with lastma‍ but why would a responsible bank not have its atm dispensing cash on a monday morning during dis festivities	negative
multilabel classification	we got home and mumcy was asking what was wrong iya sha lemme alone ó with cattagh coming outta my brain im going to bed ahan its just past mumcy said wont u drop the drink in the fridge she continued ehn drop wetin na my pillow be this now o sha leeme alone	negative
multilabel classification	please next time stay at the back with them put in selt belt bro me as adult ion dey do rough play there sef ion wan stories	negative
multilabel classification	whats going on ghan do i need to be doing deliverance every december ni last year na so pesin expensive laptop screen break for my hand for my house i had to pay in installments with a touch of abeg now this year car bills when i wan detty december oh lord	negative
multilabel classification	is it only me that my airtel network is down rn na hotspot person open for me wey i dey tweet like this	negative
multilabel classification	online i want to make mama proud offline im leaving this house na only me wey you dey send me up and down	negative
multilabel classification	ran into the guy at small doctors concert this year e do like say e no sabi me	negative
multilabel classification	this adult life eh nobody dey do christmas for person again like person no fit dash person money sef chai	negative
multilabel classification	shebi na zanku wey i never perfect na im these hens are doing anyhow	negative
multilabel classification	see as dem dey step ontop orange my tongue dey red i can still condone that if dem born una well pour puff puff away a ma ni problem	negative
multilabel classification	wetin these ones dey talk like this where me con stand	negative
multilabel classification	this is what you get when blockheads who like using religiously conservative dogmas as their shield to take canvass for more bribes get to hold on to powersilly laws wen no dey ever make sense in view and na man and woman keke be our problem for kano now abi faaccckk	negative
multilabel classification	but why this phone dey do me sef like this i mean im not blind	negative
multilabel classification	i no too rate them like that based on wetin dem don do me but na dem go still ruin me last last	negative
multilabel classification	the alcohol ive consumed in recent time though the crazy thing is e don be like water for my body i no dey high	negative
multilabel classification	me trying to make people recite the alphabets with me without actually telling them to me a them me c them what me e them you good bruv me g them snap out of it me i them total silence e de pain me nau plis	negative
multilabel classification	wetin be this wan naa hahaha sylvyyy this wan off me	negative
multilabel classification	how can access bank be this heartless see my balance for december ooo almost and them still commot naira like ikaa ni yin oo now na me dey owe them money	negative
multilabel classification	nd dont angry me cuz all of you just dey say you wey b like dis like dat me dat deep down im broke hungry and horny	negative
multilabel classification	lol oga no dey form motivational speaker for me i dey use god beg you oh this loss na loss	negative
multilabel classification	bro the cold no fit be like the one wey dey here if you baff with hot water na man you be	negative
multilabel classification	you can compare messi and ronaldo and cut your lungs out what i wont take is coming with that smelly dirty disgusting nigerian mouth to say messi no good na make him leave barca or ronaldo no sabi na he doesnt have balon dor yenyen just argue and dont say shit	negative
multilabel classification	every single time wey man united get chance to climb up the table and boost top four hopes dem go mess up na wetin happen last season when we think say ole go make top four e blow am e don start again	negative
multilabel classification	by now some years ago i for dey waka head high because of the kind money wey i gather see me today sisi i no get this adulthood sha o uncles on the tl etcetera do your girl christmas na	negative
multilabel classification	na midtyland go spoil my edit of this game i for don dey smile today	negative
multilabel classification	afta spending hr inside cold waiting for my kid bro skul bus to come pick himd man nw said hes nt cuminafter cold hv finish meis like dis man want me to swear for himas i reach house i jst commot d boy food flask dey chop d hot spagcold nd hunger will not finish me	negative
multilabel classification	las las e be like say na wetin go happen be that cause yoruba girls no dey like me	negative
multilabel classification	most of youll always happy for peoples downfall wow most of una dey happy say us house of rep impeach hope una no get flaws hope una better pass am make una go face una family problems leave the man jooooor	negative
multilabel classification	na we dey kill ourselves for this nigeria how tf will you use rope to hold your goddamm engine interstate car o where person wan see motor like this time to get a ride	negative
multilabel classification	better to get your spiritual life in order in case world war starts because the inky solution we have is fasting and prayer dem go dey shoot nukes we go dey do fire fall on my enemies	negative
multilabel classification	i hate it when i say something meaningful and pesin comment rubbish me no better thing dey to chop for this kitchen pesin chop bread bread na better thing iffah reason you	negative
multilabel classification	e be like say na me dem cut off	negative
multilabel classification	i don dey try find am for like decades now wetin dey occur gan gan	negative
multilabel classification	they say out wit old and in wit newbut im not letting go of good friends like uthank u for being an incredible frndtank u so much for affecting my life positively this year n the past yearsgod bless and be wit you allu r loved by me	negative
multilabel classification	n e w d e c a d e happy pals abuja nigeria	negative
multilabel classification	thank you for all de laugher u re releasing for us all especially dose slaps dat always drop my fone on de floor god bless u dearie	negative
multilabel classification	can you see we fit each othe pa im also aa muslim endowed smart pretty intelligent hardworking great sense of humor intresting to be with and many more and im also single so what are you still waiting for when im here	negative
multilabel classification	just when i thought was a noshow for me my dream to chop life this december can now be a reality thanks to with the gt plus jolly fest chop life december is assured and for shikele money sef just check out the awesome packages in the combo	negative
multilabel classification	na you wey go tell mayor congratulations hin call me to laugh about congratulations on what	negative
multilabel classification	you are asking me how thing do you even know how i feel im madly in love with you i just hope you can see but na lie u go dey reason matter instead of you to come let me be you kids father	negative
multilabel classification	lol o dey out dey work kpa don enter account brother go sleep cover ya head with duvet	negative
multilabel classification	lol na nollywood i dey watch no vex	negative
multilabel classification	im currently at the okpara square in the and i must confess that its really a good sight i never come here on saturday morning before today na my first time and i dey wonder why i never come since anyway e go be	negative
multilabel classification	na why everybody dey complain for january now im so glad im saving money by staying in my fathers house instead of going to flex	negative
multilabel classification	you people should share all this goodness reach me na i don follow all of una detty my december too	negative
multilabel classification	bro after god na money na a girl gat to hustle and pursue life to take care of responsibilities waiting for her already job o business o make una help me retweet biko	negative
multilabel classification	my boss is a definition of pepper them jezzzz you dont want to know what he just did for me mehn im so happy rn please help me to thank him im forever grateful dont worry fam una days go still soft	negative
multilabel classification	wow i just posted that pic saying no girl on your list can send you k now before i know it alert don enter vtu don land and one is angry with me cause i refuse to give her my acct details had to delete it im so emotional right now i feel loved i appreciate yall	negative
multilabel classification	my dear that one sef dey im taking myself for facials as my gift because that towel isnt touching my skin	negative
multilabel classification	salami don send hin yearly vn again e burst my head	negative
multilabel classification	i just dey chop dey drink good lord	negative
multilabel classification	if you love rap song go and listen to ft eriggaraw dey burst my head abeg every verse is raw even the fly gangsta album na raw unrefined	negative
multilabel classification	who dey cook this kind scenting stew on a sunday morning abeg im hungry oh na to carry plate go my neighbor door remain	negative
multilabel classification	yeah i just checked and i see u make burger trust me im not a beggar but my love for dis picture is bigger baby i want u to love me deeper ️or do u know tina yeah dat girl been dey disturb be wella but i no dey reason her mattersweety joor shey mo ley av a taste i mean burger	negative
multilabel classification	e b like say na our talent we go dey use do birthday gift for people now	negative
multilabel classification	zlatan e get one song wey i record anytime i won do back ups all the ehh ehhah ahhayiiijomogbese dey enter my head i never do am cos i get faith say the original one go sup	negative
multilabel classification	coach shay you will enter and play the rest you just dey say calm down since and dem dey flog me	negative
multilabel classification	esther dey advise mercy make she no break up with ikeshe no no say na her coin cause fightmercy dey cry ooo inside life	negative
multilabel classification	don eazi if you nor check my entry baba i go cry o i nor too get followers so e nor dey top entry as par views but its one of the top videos as par quality baba check am you go like am	negative
