Text,Tags,Time
"I forgot to put conditioner in after shampoo and then I washed my face before I shaved my armpits. Can I get a do over? LOL #OCD" , "'OCD'" , "2011-07-27 12:08:42"
"I'm so baked I just washed my face with conditioner" , "" , "2011-07-27 09:45:34"
"&quot;Is it bad that I used conditioner to wash my face?&quot; -" , "" , "2011-07-27 05:36:10"
"hate it when I run out of shampoo and conditioner and face wash at once. Now half of my money is gone for the next 2 weeks." , "" , "2011-07-27 03:42:45"
"I accidentally put hair conditioner on my face#ithoughtitwaslotion" , "" , "2011-07-26 19:06:31"
"Air conditioner is busted at work &amp; the windows are sealed. My face is melting off &amp; not like in the &quot;I just saw Muse play live&quot; sort of way" , "" , "2011-07-26 16:15:16"
"I broke out in blotches on my face because of a reaction to my conditioner lol. I look sun burnt!" , "" , "2011-07-26 16:10:45"
"Just finished my Sheer Blonde shampoo/conditioner, time to face the fact that I'm actually a brunette..." , "" , "2011-07-26 12:16:29"
"Wish I had a click button so I can pause the world undress people do wat I want to them then press play and see their face when their naked" , "" , "2011-07-28 05:11:43"
"RANDOM THOUGHT: Y DO FEMALES GOTTA GET HALF NAKED 2 LOOK GOOD LMAO HELL I GOT THE FACE ASS N BODY ION NEED 2 GET UNDRESS TO SHOW I'M DA ISH" , "" , "2011-07-26 19:49:36"
"idk i thought thats was sumth we do now. Just undress a nigga and lick his face Lol thats um normal right" , "" , "2011-07-26 02:44:57"
"*WATCHES EVEN CLOSER* RT *starts to undress RT Alright, I'm watching you *puts binoculars to face*" , "" , "2011-07-24 06:36:07"
"*starts to undress RT Alright, I'm watching you *puts binoculars to face* RT Okay but I'm watch...." , "" , "2011-07-24 06:33:15"
"{Groans low as I walk up the stairs, tired as fuck, I enter the bedroom and sees peacefully face, undress to my just(C)" , "" , "2011-07-22 07:17:23"
"&quot;I 'eed oo 'ee!&quot; The 'ee came out almost normally. A face appeared from around the curtain." , "" , "2011-07-28 08:50:35"
"And now, the end is near, And so I face the final curtain. #franksinatra" , "'franksinatra'" , "2011-07-28 04:11:06"
"If all the world's a stage then I'm ready to face the final curtain. #livewithoutfear" , "'livewithoutfear'" , "2011-07-28 00:21:20"
"Mine&amp;Abbeys dance party got a little crazy &amp; the shower curtain fell on us &amp; i slipped &amp; fell on my face &amp; peed hahahahahahahaha so funny" , "" , "2011-07-27 22:40:15"
"Yep, it's very lucky I was on the other side of the shower curtain so he couldn't see my face. :)" , "" , "2011-07-27 22:17:27"
"and nowwww the end is nearrrrr and so I face the final curtain..." , "" , "2011-07-27 21:48:01"
"and now, the end is there... and so i face the final curtain..." , "" , "2011-07-27 19:27:03"
"And now, the end is near, and so I face,, the final curtain :(" , "" , "2011-07-27 15:47:43"
"&quot;@littlejihanne: 'and now the end is near and so i face the final curtain.. and i did it MY way!' #nowplaying LOL&quot;--oi! Baka mabaril ka! :p" , "'nowplaying'" , "2011-07-27 13:24:47"
"and now the end is near and so i face the final curtain. #LOL narinig ko lng sa kapitbahay namin. &gt;:)" , "'LOL'" , "2011-07-27 12:03:53"
"A now the end is near And so I face the final curtain My friend I'll say it clear I'll state my case of which (cont) http://tl.gd/bvs2ct" , "" , "2011-07-27 02:55:27"
"And now the end is near And so I face the final curtain My friend I'll say it clear I'll state my case of which Im certain.,.,.,," , "" , "2011-07-26 23:43:39"
"And now, the end is mear, and so i face, the final curtain, my friend, i'll say it clear... (my way - F. Sinatra)" , "" , "2011-07-26 22:58:28"
"And now the time has come, it's time to face the final curtain...I did it my way. Here's what happened to my... http://fb.me/19qYZ9YeP" , "" , "2011-07-26 18:50:18"
"*Shoots self in the face.* Oh my gosh. It is too fucking early to be awake. Seven AM?! No. I'm sleeping on the 3 hour drive to Noah's Ark." , "" , "2011-07-28 12:05:04"
"I actually liked today. But note to self: wear comfortable contact lenses. And thank god I didn't make anyone's face ugly. C:" , "" , "2011-07-28 11:52:36"
"I'm just trying to show my true self, Danny. This is what my face really looks like." , "" , "2011-07-28 11:48:22"
"1st time in days I feel close to my normal self, I even beat my face this morning! Ha! As would say GLORRRAYY. Lol" , "" , "2011-07-28 11:40:29"
"I can say that I'm a man with a tight self control,, however, when I face a problem that can make people feels disappointed, I feel worry.." , "" , "2011-07-28 11:12:12"
"i hope Mic have a hair kut too wit his fat face self...i miss him and hope his stupid mama dnt play games this weekend" , "" , "2011-07-28 10:46:37"
"like meguro-san said &quot; I'll face my self &quot;" , "" , "2011-07-28 10:42:45"
"I feel like I'm the most stupid person on the face of the Universe right now. Low self-esteem, go away." , "" , "2011-07-28 10:27:54"
"I can kinda see it? I swear its like 1 shade redder then before LOL. And your face didn't get bigger you self-conscious person." , "" , "2011-07-28 09:57:09"
"Should I put self tanner on my face when I have pimples?: [...] http://bit.ly/nwughd" , "" , "2011-07-28 09:16:21"
"Note to self: next time I'll make sure to stick my face so deep into weave that cropping me wud possibly make her appear bald!" , "" , "2011-07-28 09:13:02"
"i felt I needed that self reminder T.T and it sucks when your braced-face is sore from dental appointment haha" , "" , "2011-07-28 09:04:53"
"lol when i send the winky face, it's self explanatory lol" , "" , "2011-07-28 08:58:21"
"I Want to Just Grab My Body Pillow and Turnover to Face the Other Direction http://t.co/ZU2w31s" , "" , "2011-07-28 12:05:43"
"Nearly time to chat with Sky Ferreira, the girl with the amazing hair/body/face. I look like a soccer mom :-( #CKoneSHOCK" , "'CKoneSHOCK'" , "2011-07-28 12:04:05"
"Crack the shutters open wide I wanna bathe you in the light of day, and just watch you as the rays tangle up around your face and body &lt;3" , "" , "2011-07-28 11:57:06"
"I hate when ppl have body pics in their avi but they cut their face off...are u ugly?" , "" , "2011-07-28 11:56:26"
"Going to watch '17 again', cause I'm ill, and Zac Efron's face and body will cheer me up," , "" , "2011-07-28 11:48:38"
"I hate when people say, &quot;I gotta get my body right for the summer&quot;..like, wtf are going to do about that face?" , "" , "2011-07-28 11:45:50"
"i know! and they've stuck that face on the body of a picture of her mother..." , "" , "2011-07-28 11:40:36"
"I love selena, she's my role model because she's nice, hot, sexy, nice face, nice body, and funny #ilovebopandtb :)" , "'ilovebopandtb'" , "2011-07-28 11:38:02"
"If I could have anyone's body and face it would be She is amazing!! Looked stunning on her recent holiday!! #jealous" , "'jealous'" , "2011-07-28 11:35:00"
"Last night at karate I made a guy punch himself in the face using my fist. I wonder if Jackie Chan needs a body double." , "" , "2011-07-28 11:34:15"
"Hold up guard ya face like you blocking that beats I just body that beak it down karati that" , "" , "2011-07-28 11:27:40"
"[fanacct] I never saw a human with that kind of face and body..I'll be fangirling in the future too..." , "" , "2011-07-28 11:27:19"
"Anyway I'm off to Southern Eleven in the food court to do bad things to my body.I'll be the one with the face fulla regret #whealseasontour" , "'whealseasontour'" , "2011-07-28 11:14:52"
":squeezes your shoulders as I lean away, my eyes scope your face and body for any hidden damage:" , "" , "2011-07-28 11:10:51"
"Crack the shutters open wide I wanna bathe you in the light of day, and just watch you as the rays tangle up around your face and body &lt;3" , "" , "2011-07-28 11:57:06"
"I love your body. I love your music. I love your voice. I love your name. I love your lips. I love your face. I love you:)" , "" , "2011-07-28 10:59:44"
"Lollicock RT Which body parts do you buy? RT I. Do. Not. Buy. Face." , "" , "2011-07-28 09:50:31"
"Which body parts do you buy? RT I. Do. Not. Buy. Face." , "" , "2011-07-28 09:47:51"
"I posted 10 photos on Facebook in the album &quot;No face, just sexy body parts&quot; http://fb.me/EKQTBVnj" , "" , "2011-07-28 04:08:12"
"i probably wouldn't stay long...there's something about body parts flinging around in my face that turns me off lol" , "" , "2011-07-27 21:57:19"
"I miss ur face! A long with other parts of ur fabulous body! :)" , "" , "2011-07-27 21:49:00"
"All those tweepz showing us parts of their body as their avata, like serzly i dnt wana see ur parts, its ur face am interested in" , "" , "2011-07-27 20:24:09"
"but aint nut supposed to clear skin ???? I guess to much hands and other body parts rouchin or smackin on their face lol" , "" , "2011-07-27 13:01:50"
"I admire you guys for keeping body parts for long. I miss my beautiful face way too much :3" , "" , "2011-07-26 20:51:15"
"Well I get at women bcuz of there body parts, I'm not looking at yo face lol" , "" , "2011-07-26 17:58:55"
"Ya know how people accidentally slam body parts in doors? I'm about to go purposely slam my face in one, see ya later hoes." , "" , "2011-07-26 14:33:58"
"ima leg man, a pussy man, &amp; a skin man. Face gotta look good tho. I dont think you can go wrong with my choice in body parts" , "" , "2011-07-26 07:31:56"
"I wish my body parts had a mobile me account, I raged my face off this weekend and need to find out where it is." , "" , "2011-07-25 20:44:16"
"i finally get facebook, the more body parts you're exposing is directly related to how ugly your face is. yes?" , "" , "2011-07-25 17:41:51"
"no. Lls. I just remember certain parts. Last one I watched was when you made that face LLAMF!" , "" , "2011-07-28 05:47:20"
"This medicine needs ta wear off cuz I don't like not feelin certain parts of my face......." , "" , "2011-07-26 15:44:38"
"Hi fans, I'm visiting Norway and Gamst Pederson is THE FACE of shampoo, makeup and CHEESE SLICES! What a massive puff! Ha" , "" , "2011-07-28 11:35:12"
"I just put shampoo on my face because a guy I met two weeks ago told me to. What is my life." , "" , "2011-07-28 11:12:35"
"IT AINT NO THANG YOUNG OG. I NEED THIS HAIR OUT OF MY FACE. ITS BEEN GETTIN ON MY NERVES LATELY. YOU GOT SHAMPOO N SHIT??" , "" , "2011-07-28 07:27:09"
"PANKCAKE ON MY FACE MAKES ME EXTRA HAPPY. I like shampoo bottles that sit on my lappy." , "" , "2011-07-28 06:33:20"
"....pancakes on my face makes me extra happy, I like shampoo bottles that sit on my lappy! I sing #andymilonakis theme song in my head 24/7" , "'andymilonakis'" , "2011-07-28 04:23:58"
"Aaahhh ? I'm in the shower washing my hair and the shampoo I squeezed on my hair, ran down my face , in my eye. Eeeeep !" , "" , "2011-07-27 23:35:57"
"Pancake on my face makes me extra happy, I like shampoo bottles that sit on my lappy." , "" , "2011-07-27 23:24:47"
"&quot;Pancake on my face makes me extra happy. I like shampoo bottles that sit on my lappy. KKKKKKKKKKKKKKKKKKKKKKKKKKKKKK" , "" , "2011-07-27 22:45:16"
"I went for a bath right, cleaning my lovely modelesc body and i try to grab the shampoo and it slips out my hand and hits me on the face." , "" , "2011-07-27 22:44:21"
"Pancakes on ma face, makes me extra happyyy. I like shampoo bottles that sit on my lappy" , "" , "2011-07-27 21:23:54"
"I guess when it affects the results of the product being sold. Removing facial blemishes on a face cream ad over a shampoo ad" , "" , "2011-07-27 19:49:03"
"cool then. I don't use soap on my face and need little shampoo. Should be fine. Ta" , "" , "2011-07-27 17:23:55"
"pancake on my face makes me extra happy i like shampoo bottles that sit on my lappy ." , "" , "2011-07-27 17:04:52"
"$26 for Two Unlimited-Ride Wristbands, Water Wars and Face Painting at Como Town! I'm taking the boys! http://t.co/6ZSICQF" , "" , "2011-07-28 12:00:29"
"i nearly passed out in my room. and i mean, ugly passed out. my mom said my face was an ugly dish water color. she thought i took pills. :|" , "" , "2011-07-28 11:59:01"
"#Pow. Right in bryon with a y's face...lol.RT I'm bout to go turn the temp down in my pool &amp; add water ... #SellOutShit" , "'Pow.', 'SellOutShit'" , "2011-07-28 11:56:53"
"The window was open and I was enjoying the wind then suddenly it started raining and felt like someone threw a bucket of water in my face!" , "" , "2011-07-28 11:56:06"
"Oh I was just sayin I was bored other then that i'm fine, but why don't you jump on th ebed or splash water on his face" , "" , "2011-07-28 11:22:48"
"I liked a video http://youtu.be/90VyvOhPmA0?a Time Warp - Water Balloon to the Face" , "" , "2011-07-28 11:21:26"
"Lmaoo He Saidd It Feel Lik His Face In Water Lmaooo I Got That #WetWet Wasnt That Funny &lt;3" , "'WetWet'" , "2011-07-28 11:13:19"
"last time i was at the dentist, i had a massive laughing fit and spat the water in the dentist face becuase i was laughing to much lolol." , "" , "2011-07-28 11:00:05"
"It's weird how I always have this happy smile on my face when I'm boiling water for baffing. Think it's the singular best thing about Bwari." , "" , "2011-07-28 10:44:28"
"Hahha.I remember I slapped kenneth face When his mouth was filled with water..he spit on cheryl's blouse! Hahah..somemore on her TOOT area!" , "" , "2011-07-28 10:35:46"
"I feel wide awake now tht I put hot water on my face!" , "" , "2011-07-28 10:08:47"
"OMG!!! I feel like taking Hot water and splash it in her face or just throw something at her!!" , "" , "2011-07-28 09:15:17"
"boil your face too then RT &quot;I'm so sleepy, but I have to work. what should I do?&quot; wash your face with hot water!!" , "" , "2011-07-28 07:55:10"
"&quot;I'm so sleepy, but I have to work. what should I do?&quot; wash your face with hot water!!" , "" , "2011-07-28 07:51:08"
"So u actually peepd.. Nex time na toto water i go pour 4 ur face RT Taking a HOT bath #okbye RT debbified da ooooo" , "'okbye'" , "2011-07-27 23:20:28"
"lol *passes it to you &amp; runs in the bathroom to splash water on my face* ITS NOT WORKING! I'M STILL HOT!! Lmaooooo" , "" , "2011-07-27 22:58:44"
"So today me being the genius I am somehow managed to spill boiling hot water on my face n chest, the pain was emotional" , "" , "2011-07-27 21:51:54"
"...and his breath smell like old hot dog water....and he always saying why your face turned up....I just want to say &quot;because&quot;" , "" , "2011-07-27 16:43:11"
"*brain-wave face* *gasps* I should make this my job! Btw try hot water with lime for your poorlyness. AMAZE. x" , "" , "2011-07-27 12:21:29"
"I hate when ppl just breathe in your face and their breathe feels like hot water just wt you tryna do burn my face off?" , "" , "2011-07-27 08:38:03"
"I cant put NOTHING on my face but hot water ." , "" , "2011-07-27 06:12:15"
"I not bleaching RT put colgate on them! RT Going hot water my face TONIGHT cah dem 3 bump yah cyah real" , "" , "2011-07-27 03:53:57"
"'OWW angry face.' 'y r u angry?' 'Cuz the sand is hot y do u think im angry?' 'But wer in the water!' 'r u mocking me?' i said this 2 some1." , "" , "2011-07-27 03:25:07"
"I hate make-up .. The only thing i put on my face is hot water &amp; vaseline .." , "" , "2011-07-27 01:36:01"
"wateva niggah dnt try it i was gnna throw hot water at u until u was ite in the face wen u cme to see kendra at my crib" , "" , "2011-07-27 00:15:01"
"Then with the dumb face throwing a tantrum right...RT I can see u running into a closed train door. Lmaoooo" , "" , "2011-07-28 12:01:33"
"Whenever I stay at my parents house, my dog follows me everywhere. He was shocked that I closed the bathroom door in his face lol" , "" , "2011-07-28 11:57:49"
"The day we walk thru sum door together ......I wanna c the look on everybody's face ...#unexpected" , "" , "2011-07-28 11:54:02"
"I must admit I'd rather shut my face in a door of a Mini Metro" , "" , "2011-07-28 11:39:28"
"Down down, you bring me down I hear you knocking at my door and I can't sleep at night Your face..." , "" , "2011-07-28 11:36:03"
"Hahahaha RT I keep the bathroom door open, my roommate keeps it closed. Its dark... I face planted the door." , "" , "2011-07-28 11:09:40"
"#LOVE&lt;=&gt; Homeless man just pissed on a Benz and the owner nearly closed his face in the door. I love new York: ..." , "'LOVE&lt;=&gt;'" , "2011-07-28 11:00:10"
"Homeless man just pissed on a Benz and the owner nearly closed his face in the door. I love new York" , "" , "2011-07-28 10:59:01"
"ohmamotherofduckkkkk! Seriously? The day I wear ma cool pjs and have a shower -.- oh well lol btw there's no winky face in that" , "" , "2011-07-28 10:47:46"
"I'm scared to shower because my face will burn :(" , "" , "2011-07-28 10:31:52"
"- when I wake up in the morning , I check my phone , get up and strech , brush my teeth wash face the shower , in that order" , "" , "2011-07-28 08:45:57"
"I was in the shower this morning and saw a spider on the wall right in my face I screammeeeddddd!!" , "" , "2011-07-28 08:45:46"
"Water Proof Use Lotion ^.^ RT Angelia's eyeliner isnt coming off I took a shower washed my face in (cont) http://tl.gd/c0iupf" , "" , "2011-07-28 08:16:49"
"Angelia's eyeliner isnt coming off I took a shower washed my face in the shower , Got out &amp; Washed my face again WTF man -__-" , "" , "2011-07-28 08:13:56"
"Ain't nuffin wrong wit eatin ass in da shower then u won't look at her wit da I eat ass face #ctfu" , "'ctfu'" , "2011-07-28 08:12:14"
"lmao! well did he get his ass in the shower? RT i know. Chanteney was like &quot;Get the fuck out my face you black" , "" , "2011-07-28 08:08:11"
"Right now a few slaps around the face and a cold shower I think." , "" , "2011-07-28 08:06:48"
"Now I have to figure out how ima take a shower without getting one drop of water on my face...." , "" , "2011-07-28 07:25:21"
"shower cap your face =)&lt;--lmao how am I gonna breathe son? O_o" , "" , "2011-07-28 07:04:17"
"Y nt go 2 wrk in ur pyjamas.dat wud b beta.&quot;@oluwaddee: Too cold to hop in the shower..I'd just wash my face n go to work.&quot;" , "" , "2011-07-28 06:50:59"
"Too cold to hop in the shower..I'd just wash my face n go to work." , "" , "2011-07-28 06:33:44"
"I just got out the shower and looked at me naked Lmao...... Mmm ( winky face at myself) ;)" , "" , "2011-07-28 06:32:27"
"I would love to hear Dom say, &quot;Kalia, I got 1 more night left in this bitch, STFU and GTFO so I can try to tap BAT FACE&quot; #bb13" , "'bb13'" , "2011-07-28 09:05:39"
"if my cousin tap my damn shoulder or shake me 1 more damn time i might juss punch her in her damn face!" , "" , "2011-07-28 07:25:57"
"When I said I'd tap that, I meant with a shovel. At full force. in the face." , "" , "2011-07-28 06:37:51"
"I should go down stairs a put my butt in my mama face while she sleep tap her and run upstairs and lock the door lmfaooooo" , "" , "2011-07-28 06:35:44"
"I'd tap that. . with a shovel, in the face. . . HARD" , "" , "2011-07-28 06:30:36"
": When I said I'd tap that, I meant with a shovel. At full force. in the face.&quot;" , "" , "2011-07-28 06:05:27"
":O he just snapped he said &quot; nigga i bag those badd bitches , your bitch look like rick ross tap danced on her face , she ugly assel &quot;" , "" , "2011-07-28 05:17:44"
"I've got a feeling Bodycount will tap into that same Bulletstorm craziness. Back before po-face and dust colours were vogue." , "" , "2011-07-28 03:03:08"
"Nearly time to chat with Sky Ferreira, the girl with the amazing hair/body/face. I look like a soccer mom :-( #CKoneSHOCK" , "'CKoneSHOCK'" , "2011-07-28 12:04:05"
"I liked a video http://youtu.be/yTqQk6X4Wfw?a At-Home SPA Treatment (Face, Hair, &amp; Undereye Bags)" , "" , "2011-07-28 12:04:03"
"haha why does this sound kinky? I think it was the winky face. Or do you have a thing for hair?" , "" , "2011-07-28 12:01:50"
"Daer boss wish I could say this to your face &quot;I see you'rehaving a bad hair decade&quot;" , "" , "2011-07-28 12:00:11"
"It looks like those adorable keychains you can get for animes *-* with aois face its just awesome (though i wish hed had different hair)" , "" , "2011-07-28 11:57:38"
"XD next time show your whole face &gt;:D put your hair higher, i heard it makes your face look brighter :3v" , "" , "2011-07-28 11:55:34"
